experiment_name,regime,M,trial,k,raw_to_ref_l2,ref_to_ideal_l2,gap_ratio
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,14,12,8.451421620640245e-14,0.229091612129873,229091612129.87302
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,15,2,5.16906779457751e-14,10.086511872274244,10086511872274.244
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,15,4,4.9643088866616044e-14,3.2303070707010155,3230307070701.0156
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,15,6,9.767707557334014e-14,0.9981237341610594,998123734161.0594
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,15,8,1.529603151219591e-13,0.42805398194029554,428053981940.29553
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,15,10,2.909680160165378e-13,0.1741560202410148,174156020241.0148
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,15,12,4.276330302832512e-13,0.09264041526932926,92640415269.32925
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,16,2,7.98669782031117e-15,4.7321821297619815,4732182129761.981
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,16,4,1.8208774995054993e-13,2.382499705091384,2382499705091.3843
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,16,6,2.945958915522598e-13,0.9560963760638375,956096376063.8375
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,16,8,1.924252682944481e-13,0.3470167848372717,347016784837.2717
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,16,10,1.8464635752757666e-13,0.17661334168912385,176613341689.12384
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,16,12,2.001463452125663e-13,0.11048310764626984,110483107646.26984
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,17,2,9.632757961522809e-15,6.280925005140324,6280925005140.323
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,17,4,7.0973159984964365e-15,3.3525436505878,3352543650587.8
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,17,6,1.1706841159588818e-14,1.5897557457431688,1589755745743.169
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,17,8,3.209163587372611e-14,0.773944441020197,773944441020.197
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,17,10,5.301408795994445e-14,0.3732125766157306,373212576615.7306
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,17,12,1.6720344079786873e-14,0.18247619925141584,182476199251.41583
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,18,2,1.196621390772716e-14,8.638412957006695,8638412957006.695
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,18,4,7.719149118333236e-14,5.063766551231285,5063766551231.285
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,18,6,1.276541984844824e-13,2.600032378889643,2600032378889.643
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,18,8,5.8099134025029e-14,1.2386747408507726,1238674740850.7727
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,18,10,1.366916376823281e-13,0.5510705075854375,551070507585.4375
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,18,12,1.8330471054682955e-13,0.25507578226717054,255075782267.17053
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,19,2,1.4384000726573834e-14,15.316727425832878,15316727425832.879
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,19,4,9.765361831502766e-14,5.008823744456704,5008823744456.704
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,19,6,1.0125173732741777e-13,1.7982009448091247,1798200944809.1248
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,19,8,3.170387023425387e-13,0.760634781436804,760634781436.804
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,19,10,2.1973483803221285e-13,0.39687375931543967,396873759315.4397
exp6_two_bridge_gap_compare,bounded_[0.50,2.00],20,19,12,4.2162330578240184e-13,0.20546322442080628,205463224420.80627
