regime,M,trial,k,segment_i,delta_scale,delta_response_l2,amplification_ratio
uniform_h=1.00,20,7,12,10,1e-05,1.2142136467146068e-14,1.2142136467146067e-09
uniform_h=1.00,20,7,12,10,0.0001,5.407210710868544e-15,5.407210710868544e-11
uniform_h=1.00,20,7,12,10,0.001,6.034476415521941e-15,6.034476415521941e-12
uniform_h=1.00,20,8,2,10,1e-06,2.2729511820139823e-16,2.2729511820139823e-10
uniform_h=1.00,20,8,2,10,1e-05,6.938893903907228e-18,6.938893903907227e-13
uniform_h=1.00,20,8,2,10,0.0001,0.0,0.0
uniform_h=1.00,20,8,2,10,0.001,2.2887833992611187e-16,2.288783399261119e-13
uniform_h=1.00,20,8,4,10,1e-06,1.6653345369377348e-16,1.6653345369377348e-10
uniform_h=1.00,20,8,4,10,1e-05,1.1069556575683524e-15,1.1069556575683523e-10
uniform_h=1.00,20,8,4,10,0.0001,1.7372233763258857e-15,1.7372233763258855e-11
uniform_h=1.00,20,8,4,10,0.001,1.7372233763258857e-15,1.7372233763258856e-12
uniform_h=1.00,20,8,6,10,1e-06,1.2609716312423397e-15,1.2609716312423401e-09
uniform_h=1.00,20,8,6,10,1e-05,1.0911867917441376e-15,1.0911867917441375e-10
uniform_h=1.00,20,8,6,10,0.0001,1.1162917399258164e-15,1.1162917399258162e-11
uniform_h=1.00,20,8,6,10,0.001,1.7504951483442526e-15,1.750495148344252e-12
uniform_h=1.00,20,8,8,10,1e-06,3.1131515887270986e-15,3.113151588727099e-09
uniform_h=1.00,20,8,8,10,1e-05,1.1329231865303607e-15,1.1329231865303603e-10
uniform_h=1.00,20,8,8,10,0.0001,1.2560739669470201e-15,1.25607396694702e-11
uniform_h=1.00,20,8,8,10,0.001,4.6795422176148884e-15,4.679542217614888e-12
uniform_h=1.00,20,8,10,10,1e-06,3.079399497820871e-15,3.0793994978208714e-09
uniform_h=1.00,20,8,10,10,1e-05,1.030150722232771e-14,1.0301507222327709e-09
uniform_h=1.00,20,8,10,10,0.0001,1.2419395545445012e-14,1.241939554544501e-10
uniform_h=1.00,20,8,10,10,0.001,7.095310817529816e-15,7.095310817529816e-12
uniform_h=1.00,20,8,12,10,1e-06,1.1221275458325046e-14,1.1221275458325048e-08
uniform_h=1.00,20,8,12,10,1e-05,1.2624462700125508e-14,1.2624462700125507e-09
uniform_h=1.00,20,8,12,10,0.0001,1.302300251896448e-15,1.302300251896448e-11
uniform_h=1.00,20,8,12,10,0.001,6.3411658154587846e-15,6.341165815458784e-12
uniform_h=1.00,20,9,2,10,1e-06,3.1401849173675503e-16,3.1401849173675504e-10
uniform_h=1.00,20,9,2,10,1e-05,2.482534153247273e-16,2.4825341532472735e-11
uniform_h=1.00,20,9,2,10,0.0001,1.1102230246251565e-16,1.1102230246251565e-12
uniform_h=1.00,20,9,2,10,0.001,2.7755575615628914e-16,2.775557561562892e-13
uniform_h=1.00,20,9,4,10,1e-06,0.0,0.0
uniform_h=1.00,20,9,4,10,1e-05,1.7659178253678205e-15,1.7659178253678205e-10
uniform_h=1.00,20,9,4,10,0.0001,5.2475760764764596e-15,5.247576076476459e-11
uniform_h=1.00,20,9,4,10,0.001,0.0,0.0
uniform_h=1.00,20,9,6,10,1e-06,1.5948259313810022e-14,1.5948259313810022e-08
uniform_h=1.00,20,9,6,10,1e-05,1.5948259313810022e-14,1.5948259313810018e-09
uniform_h=1.00,20,9,6,10,0.0001,1.5948259313810022e-14,1.594825931381002e-10
uniform_h=1.00,20,9,6,10,0.001,1.5948259313810022e-14,1.594825931381002e-11
uniform_h=1.00,20,9,8,10,1e-06,1.1101813904810783e-14,1.1101813904810783e-08
uniform_h=1.00,20,9,8,10,1e-05,0.0,0.0
uniform_h=1.00,20,9,8,10,0.0001,1.2346583554580087e-14,1.2346583554580088e-10
uniform_h=1.00,20,9,8,10,0.001,1.2346583554580087e-14,1.2346583554580088e-11
uniform_h=1.00,20,9,10,10,1e-06,1.1057949861258994e-14,1.1057949861258997e-08
uniform_h=1.00,20,9,10,10,1e-05,9.602787394150766e-15,9.602787394150765e-10
uniform_h=1.00,20,9,10,10,0.0001,0.0,0.0
uniform_h=1.00,20,9,10,10,0.001,1.3517506747167833e-14,1.3517506747167833e-11
uniform_h=1.00,20,9,12,10,1e-06,5.4888185911956585e-15,5.488818591195659e-09
uniform_h=1.00,20,9,12,10,1e-05,1.7629947490476748e-14,1.7629947490476746e-09
uniform_h=1.00,20,9,12,10,0.0001,1.674351504472122e-14,1.674351504472122e-10
uniform_h=1.00,20,9,12,10,0.001,1.641340461308574e-14,1.6413404613085744e-11
uniform_h=1.00,20,10,2,10,1e-06,4.163336342344337e-17,4.163336342344337e-11
uniform_h=1.00,20,10,2,10,1e-05,1.2412670766236366e-16,1.2412670766236364e-11
uniform_h=1.00,20,10,2,10,0.0001,1.5700924586837752e-16,1.5700924586837752e-12
uniform_h=1.00,20,10,2,10,0.001,1.3092278833360675e-16,1.3092278833360677e-13
